testid,section,type,marks,negative_marks,question_text,image_url,option_a,option_b,option_c,option_d,correct_answer,integer_ans,solution
6,Computer Science & Engineering,MCQ,4.0,1.0,Match the following: (P) Condition coverage (Q) Equivalence class partitioning (R) Volume testing (S) Alpha testing (i) Black-box testing (ii) System testing (iii) White-box testing (iv) Performance testing,,"P-ii, Q-iii, R-i, S-iv","P-iii, Q-iv, R-ii, S-i","P-iii, Q-i, R-iv, S-ii","P-iii, Q-i, R-ii, S-iv",C,,"Condition coverage is a white‑box testing technique (P‑iii). Equivalence partitioning is a black‑box testing method (Q‑i). Volume testing checks performance under large data volumes (R‑iv). Alpha testing is performed by developers before system release, a type of system testing (S‑ii)."
6,Computer Science & Engineering,MCQ,4.0,1.0,Which one of the following is the recurrence equation for the worst case time complexity of the Quicksort algorithm for sorting n (≥2) numbers? (c is a constant),,T(n) = 2T(n/2) + cn,T(n) = T(n-1) + T(1) + cn,T(n) = 2T(n-1) + cn,T(n) = T(n/2) + cn,B,,"In worst case, Quicksort's pivot is the smallest/largest element, leading to one subproblem of size n‑1 and one of size 1. Partitioning takes O(n)."
6,Computer Science & Engineering,MCQ,4.0,1.0,"For any two languages L1 and L2 such that L1 is context‑free and L2 is recursively enumerable but not recursive, which of the following is/are necessarily true? I. complement(L1) is recursive II. complement(L2) is recursive III. complement(L1) is context‑free IV. complement(L1) ∪ L2 is recursively enumerable",,I only,III only,III and IV only,I and IV only,D,,"L1 is CFL, its complement is CSL hence recursive (I true). L2 is RE but not recursive, so its complement is not RE (II false). Complement of CFL is not necessarily CFL (III false). Union of CFL (or recursive) with RE is RE (IV true)."
6,Computer Science & Engineering,MCQ,4.0,1.0,Evaluate lim x→∞ x^(1/x),,∞,0,1,Not defined,C,,Let y = x^(1/x) → ln y = (ln x)/x → limit 0. Hence y → e^0 = 1.
6,Computer Science & Engineering,MCQ,4.0,1.0,"If g(x)=1-x and h(x)=x/(x-1), then g(h(x))/h(g(x)) is:",,h(x)/g(x),-1/x,g(x)/h(x),x/(1-x)^2,A,,Compute: g(h(x)) = 1 - x/(x-1) = -1/(x-1). h(g(x)) = (1-x)/( (1-x)-1 ) = (1-x)/(-x) = (x-1)/x. Then ratio = [-1/(x-1)] / [(x-1)/x] = -x/(x-1)^2 = (x/(x-1)) / (1-x) = h(x)/g(x).
6,Computer Science & Engineering,MCQ,4.0,1.0,Match the following: (P) Prim's algorithm (Q) Floyd-Warshall algorithm (R) Mergesort (S) Hamiltonian circuit (i) Backtracking (ii) Greedy method (iii) Dynamic programming (iv) Divide and conquer,,"P-iii, Q-ii, R-iv, S-i","P-i, Q-ii, R-iv, S-iii","P-ii, Q-iii, R-iv, S-i","P-ii, Q-i, R-iii, S-iv",C,,Prim's uses greedy approach. Floyd‑Warshall uses dynamic programming. Merge sort is divide‑and‑conquer. Hamiltonian circuit is typically solved using backtracking.
6,Computer Science & Engineering,MCQ,4.0,1.0,SELECT operation in SQL is equivalent to,,the selection operation in relational algebra,"the selection operation in relational algebra, except that SELECT in SQL retains duplicates",the projection operation in relational algebra,"the projection operation in relational algebra, except that SELECT in SQL retains duplicates",D,,"SQL SELECT (without DISTINCT) does not eliminate duplicates by default, unlike relational algebra's projection (π) which returns a set (no duplicates)."
6,Computer Science & Engineering,MCQ,4.0,1.0,"For computers based on three‑address instruction formats, each address field can be used to specify which of the following: S1 A memory operand S2 A processor register S3 An implied accumulator register",,Either S1 or S2,Either S2 or S3,Only S2 and S3,"All of S1, S2 and S3",A,,A three‑address instruction has explicit operand fields; they can refer to memory addresses or registers. An implied accumulator is not used in three‑address format.
6,Computer Science & Engineering,NAT,4.0,0.0,The following two functions P1 and P2 share variable B=2 and execute concurrently. P1{ C = B-1; B = 2*C; } P2{ D = 2*B; D = D-1; } The number of distinct values that B can possibly take after execution is,,,,,,3,3,"Possible values: (1) P1 then P2 → B=2; (2) P2 then P1 → B=3; (3) interleaved → e.g. P1 reads B=2, P2 reads B=2, then B can become 4. Distinct B values = 2,3,4."
6,Computer Science & Engineering,MCQ,4.0,1.0,"Which of the following is/are correct inorder traversal sequence(s) of binary search tree(s)? I. 3,5,7,8,15,19,25 II. 5,8,9,12,10,15,25 III. 2,7,10,8,14,16,20 IV. 4,6,7,9,18,20,25",,I and IV only,II and III only,II and IV only,II only,A,,Inorder of a BST must be strictly increasing (no duplicates). I and IV are strictly increasing. II has 12 then 10 (decrease). III has 10 then 8 (decrease).
