image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
CH_2015_GA_1.png,CH/GA/CH_2015_GA_1.png,CH,2015,GA,1,MCQ,B,1,0.33
CH_2015_GA_2.png,CH/GA/CH_2015_GA_2.png,CH,2015,GA,2,MCQ,A,1,0.33
CH_2015_GA_3.png,CH/GA/CH_2015_GA_3.png,CH,2015,GA,3,MCQ,C,1,0.33
CH_2015_GA_4.png,CH/GA/CH_2015_GA_4.png,CH,2015,GA,4,MCQ,C,1,0.33
CH_2015_GA_5.png,CH/GA/CH_2015_GA_5.png,CH,2015,GA,5,MCQ,A,1,0.33
CH_2015_GA_6.png,CH/GA/CH_2015_GA_6.png,CH,2015,GA,6,MCQ,A,2,0.67
CH_2015_GA_7.png,CH/GA/CH_2015_GA_7.png,CH,2015,GA,7,MCQ,B,2,0.67
CH_2015_GA_8.png,CH/GA/CH_2015_GA_8.png,CH,2015,GA,8,NAT,3,2,0
CH_2015_GA_9.png,CH/GA/CH_2015_GA_9.png,CH,2015,GA,9,MCQ,C,2,0.67
CH_2015_GA_10.png,CH/GA/CH_2015_GA_10.png,CH,2015,GA,10,MCQ,B,2,0.67
CH_2015_CH_1.png,CH/CH/CH_2015_CH_1.png,CH,2015,CH,1,MCQ,D,1,0.33
CH_2015_CH_2.png,CH/CH/CH_2015_CH_2.png,CH,2015,CH,2,NAT,7,1,0
CH_2015_CH_3.png,CH/CH/CH_2015_CH_3.png,CH,2015,CH,3,MCQ,D,1,0.33
CH_2015_CH_4.png,CH/CH/CH_2015_CH_4.png,CH,2015,CH,4,MCQ,A,1,0.33
CH_2015_CH_5.png,CH/CH/CH_2015_CH_5.png,CH,2015,CH,5,MCQ,B,1,0.33
CH_2015_CH_6.png,CH/CH/CH_2015_CH_6.png,CH,2015,CH,6,NAT,309 to 311  (≈ 310 K),1,0
CH_2015_CH_7.png,CH/CH/CH_2015_CH_7.png,CH,2015,CH,7,MCQ,D,1,0.33
CH_2015_CH_8.png,CH/CH/CH_2015_CH_8.png,CH,2015,CH,8,MCQ,D,1,0.33
CH_2015_CH_9.png,CH/CH/CH_2015_CH_9.png,CH,2015,CH,9,MCQ,A,1,0.33
CH_2015_CH_10.png,CH/CH/CH_2015_CH_10.png,CH,2015,CH,10,NAT,1.6 to 1.7  (≈ 1.64),1,0
CH_2015_CH_11.png,CH/CH/CH_2015_CH_11.png,CH,2015,CH,11,MCQ,C,1,0.33
CH_2015_CH_12.png,CH/CH/CH_2015_CH_12.png,CH,2015,CH,12,NAT,8080 to 8100  (≈ 8085 Pa),1,0
CH_2015_CH_13.png,CH/CH/CH_2015_CH_13.png,CH,2015,CH,13,MCQ,A,1,0.33
CH_2015_CH_14.png,CH/CH/CH_2015_CH_14.png,CH,2015,CH,14,MCQ,D,1,0.33
CH_2015_CH_15.png,CH/CH/CH_2015_CH_15.png,CH,2015,CH,15,NAT,0.95 to 1.05  (≈ 1.0),1,0
CH_2015_CH_16.png,CH/CH/CH_2015_CH_16.png,CH,2015,CH,16,NAT,1.0 to 1.2  (≈ 1.1),1,0
CH_2015_CH_17.png,CH/CH/CH_2015_CH_17.png,CH,2015,CH,17,MCQ,B,1,0.33
CH_2015_CH_18.png,CH/CH/CH_2015_CH_18.png,CH,2015,CH,18,MCQ,A,1,0.33
CH_2015_CH_19.png,CH/CH/CH_2015_CH_19.png,CH,2015,CH,19,MCQ,B,1,0.33
CH_2015_CH_20.png,CH/CH/CH_2015_CH_20.png,CH,2015,CH,20,MCQ,C,1,0.33
CH_2015_CH_21.png,CH/CH/CH_2015_CH_21.png,CH,2015,CH,21,MCQ,D,1,0.33
CH_2015_CH_22.png,CH/CH/CH_2015_CH_22.png,CH,2015,CH,22,MCQ,C,1,0.33
CH_2015_CH_23.png,CH/CH/CH_2015_CH_23.png,CH,2015,CH,23,MCQ,C,1,0.33
CH_2015_CH_24.png,CH/CH/CH_2015_CH_24.png,CH,2015,CH,24,MCQ,B,1,0.33
CH_2015_CH_25.png,CH/CH/CH_2015_CH_25.png,CH,2015,CH,25,MCQ,C,1,0.33
CH_2015_CH_26.png,CH/CH/CH_2015_CH_26.png,CH,2015,CH,26,NAT,93.3 to 95.3  (≈ 94.3 microns),2,0
CH_2015_CH_27.png,CH/CH/CH_2015_CH_27.png,CH,2015,CH,27,NAT,8,2,0
CH_2015_CH_28.png,CH/CH/CH_2015_CH_28.png,CH,2015,CH,28,MCQ,A,2,0.67
CH_2015_CH_29.png,CH/CH/CH_2015_CH_29.png,CH,2015,CH,29,NAT,0.31 to 0.35  (≈ 0.33),2,0
CH_2015_CH_30.png,CH/CH/CH_2015_CH_30.png,CH,2015,CH,30,NAT,44 to 47  (≈ 45.5 %),2,0
CH_2015_CH_31.png,CH/CH/CH_2015_CH_31.png,CH,2015,CH,31,NAT,740 to 770  (≈ 754 kJ),2,0
CH_2015_CH_32.png,CH/CH/CH_2015_CH_32.png,CH,2015,CH,32,MCQ,D,2,0.67
CH_2015_CH_33.png,CH/CH/CH_2015_CH_33.png,CH,2015,CH,33,NAT,26.5 to 28.5  (≈ 27 bar),2,0
CH_2015_CH_34.png,CH/CH/CH_2015_CH_34.png,CH,2015,CH,34,MCQ,C,2,0.67
CH_2015_CH_35.png,CH/CH/CH_2015_CH_35.png,CH,2015,CH,35,NAT,25 to 27  (≈ 26 m),2,0
CH_2015_CH_36.png,CH/CH/CH_2015_CH_36.png,CH,2015,CH,36,NAT,39.5 to 40.5  (≈ 40 s),2,0
CH_2015_CH_37.png,CH/CH/CH_2015_CH_37.png,CH,2015,CH,37,NAT,1.25 to 1.35  (≈ 1.30 Pa),2,0
CH_2015_CH_38.png,CH/CH/CH_2015_CH_38.png,CH,2015,CH,38,MCQ,C,2,0.67
CH_2015_CH_39.png,CH/CH/CH_2015_CH_39.png,CH,2015,CH,39,MCQ,A,2,0.67
CH_2015_CH_40.png,CH/CH/CH_2015_CH_40.png,CH,2015,CH,40,NAT,245 to 255  (≈ 250 W/m),2,0
CH_2015_CH_41.png,CH/CH/CH_2015_CH_41.png,CH,2015,CH,41,MCQ,C,2,0.67
CH_2015_CH_42.png,CH/CH/CH_2015_CH_42.png,CH,2015,CH,42,MCQ,B,2,0.67
CH_2015_CH_43.png,CH/CH/CH_2015_CH_43.png,CH,2015,CH,43,NAT,1.3 to 1.5  (≈ 1.4),2,0
CH_2015_CH_44.png,CH/CH/CH_2015_CH_44.png,CH,2015,CH,44,NAT,0.20 to 0.24  (≈ 0.22),2,0
CH_2015_CH_45.png,CH/CH/CH_2015_CH_45.png,CH,2015,CH,45,NAT,6.3 to 6.5  (≈ 6.4 g),2,0
CH_2015_CH_46.png,CH/CH/CH_2015_CH_46.png,CH,2015,CH,46,MCQ,B,2,0.67
CH_2015_CH_47.png,CH/CH/CH_2015_CH_47.png,CH,2015,CH,47,NAT,0.7 to 0.9  (≈ 0.80),2,0
CH_2015_CH_48.png,CH/CH/CH_2015_CH_48.png,CH,2015,CH,48,MCQ,C,2,0.67
