image_filename,relative_path,subject,year,section,question_no,question_type,correct_answer,marks,negative_marks
ME_2016_S1_GA_001.png,ME/GA/ME_2016_S1_GA_001.png,ME,2016,GA,1,MCQ,A,1,0.33
ME_2016_S1_GA_002.png,ME/GA/ME_2016_S1_GA_002.png,ME,2016,GA,2,MCQ,B,1,0.33
ME_2016_S1_GA_003.png,ME/GA/ME_2016_S1_GA_003.png,ME,2016,GA,3,MCQ,A,1,0.33
ME_2016_S1_GA_004.png,ME/GA/ME_2016_S1_GA_004.png,ME,2016,GA,4,MCQ,A,1,0.33
ME_2016_S1_GA_005.png,ME/GA/ME_2016_S1_GA_005.png,ME,2016,GA,5,MCQ,C,1,0.33
ME_2016_S1_GA_006.png,ME/GA/ME_2016_S1_GA_006.png,ME,2016,GA,6,MCQ,C,2,0.67
ME_2016_S1_GA_007.png,ME/GA/ME_2016_S1_GA_007.png,ME,2016,GA,7,MCQ,B,2,0.67
ME_2016_S1_GA_008.png,ME/GA/ME_2016_S1_GA_008.png,ME,2016,GA,8,MCQ,D,2,0.67
ME_2016_S1_GA_009.png,ME/GA/ME_2016_S1_GA_009.png,ME,2016,GA,9,MCQ,C,2,0.67
ME_2016_S1_GA_010.png,ME/GA/ME_2016_S1_GA_010.png,ME,2016,GA,10,MCQ,C,2,0.67
ME_2016_S1_ME_001.png,ME/ME/ME_2016_S1_ME_001.png,ME,2016,ME,1,MCQ,D,1,0.33
ME_2016_S1_ME_002.png,ME/ME/ME_2016_S1_ME_002.png,ME,2016,ME,2,MCQ,B,1,0.33
ME_2016_S1_ME_003.png,ME/ME/ME_2016_S1_ME_003.png,ME,2016,ME,3,MCQ,A,1,0.33
ME_2016_S1_ME_004.png,ME/ME/ME_2016_S1_ME_004.png,ME,2016,ME,4,MCQ,A,1,0.33
ME_2016_S1_ME_005.png,ME/ME/ME_2016_S1_ME_005.png,ME,2016,ME,5,NAT,(1.56),1,0
ME_2016_S1_ME_006.png,ME/ME/ME_2016_S1_ME_006.png,ME,2016,ME,6,NAT,(57.735),1,0
ME_2016_S1_ME_007.png,ME/ME/ME_2016_S1_ME_007.png,ME,2016,ME,7,MCQ,C,1,0.33
ME_2016_S1_ME_008.png,ME/ME/ME_2016_S1_ME_008.png,ME,2016,ME,8,MCQ,A,1,0.33
ME_2016_S1_ME_009.png,ME/ME/ME_2016_S1_ME_009.png,ME,2016,ME,9,MCQ,D,1,0.33
ME_2016_S1_ME_010.png,ME/ME/ME_2016_S1_ME_010.png,ME,2016,ME,10,NAT,(200),1,0
ME_2016_S1_ME_011.png,ME/ME/ME_2016_S1_ME_011.png,ME,2016,ME,11,NAT,(20),1,0
ME_2016_S1_ME_012.png,ME/ME/ME_2016_S1_ME_012.png,ME,2016,ME,12,MCQ,B,1,0.33
ME_2016_S1_ME_013.png,ME/ME/ME_2016_S1_ME_013.png,ME,2016,ME,13,MCQ,C,1,0.33
ME_2016_S1_ME_014.png,ME/ME/ME_2016_S1_ME_014.png,ME,2016,ME,14,MCQ,D,1,0.33
ME_2016_S1_ME_015.png,ME/ME/ME_2016_S1_ME_015.png,ME,2016,ME,15,MCQ,A,1,0.33
ME_2016_S1_ME_016.png,ME/ME/ME_2016_S1_ME_016.png,ME,2016,ME,16,MCQ,B,1,0.33
ME_2016_S1_ME_017.png,ME/ME/ME_2016_S1_ME_017.png,ME,2016,ME,17,NAT,(14.286),1,0
ME_2016_S1_ME_018.png,ME/ME/ME_2016_S1_ME_018.png,ME,2016,ME,18,NAT,(0.25),1,0
ME_2016_S1_ME_019.png,ME/ME/ME_2016_S1_ME_019.png,ME,2016,ME,19,MCQ,A,1,0.33
ME_2016_S1_ME_020.png,ME/ME/ME_2016_S1_ME_020.png,ME,2016,ME,20,MCQ,B,1,0.33
ME_2016_S1_ME_021.png,ME/ME/ME_2016_S1_ME_021.png,ME,2016,ME,21,MCQ,D,1,0.33
ME_2016_S1_ME_022.png,ME/ME/ME_2016_S1_ME_022.png,ME,2016,ME,22,MCQ,C,1,0.33
ME_2016_S1_ME_023.png,ME/ME/ME_2016_S1_ME_023.png,ME,2016,ME,23,MCQ,A,1,0.33
ME_2016_S1_ME_024.png,ME/ME/ME_2016_S1_ME_024.png,ME,2016,ME,24,NAT,(0.5),1,0
ME_2016_S1_ME_025.png,ME/ME/ME_2016_S1_ME_025.png,ME,2016,ME,25,MCQ,A,1,0.33
ME_2016_S1_ME_026.png,ME/ME/ME_2016_S1_ME_026.png,ME,2016,ME,26,NAT,(-5),2,0
ME_2016_S1_ME_027.png,ME/ME/ME_2016_S1_ME_027.png,ME,2016,ME,27,NAT,(-1),2,0
ME_2016_S1_ME_028.png,ME/ME/ME_2016_S1_ME_028.png,ME,2016,ME,28,MCQ,A,2,0.67
ME_2016_S1_ME_029.png,ME/ME/ME_2016_S1_ME_029.png,ME,2016,ME,29,NAT,(-6),2,0
ME_2016_S1_ME_030.png,ME/ME/ME_2016_S1_ME_030.png,ME,2016,ME,30,NAT,(5),2,0
ME_2016_S1_ME_031.png,ME/ME/ME_2016_S1_ME_031.png,ME,2016,ME,31,MCQ,B,2,0.67
ME_2016_S1_ME_032.png,ME/ME/ME_2016_S1_ME_032.png,ME,2016,ME,32,NAT,(4),2,0
ME_2016_S1_ME_033.png,ME/ME/ME_2016_S1_ME_033.png,ME,2016,ME,33,NAT,(21439.06),2,0
ME_2016_S1_ME_034.png,ME/ME/ME_2016_S1_ME_034.png,ME,2016,ME,34,NAT,(0),2,0
ME_2016_S1_ME_035.png,ME/ME/ME_2016_S1_ME_035.png,ME,2016,ME,35,NAT,(1),2,0
ME_2016_S1_ME_036.png,ME/ME/ME_2016_S1_ME_036.png,ME,2016,ME,36,MCQ,C,2,0.67
ME_2016_S1_ME_037.png,ME/ME/ME_2016_S1_ME_037.png,ME,2016,ME,37,MCQ,A,2,0.67
ME_2016_S1_ME_038.png,ME/ME/ME_2016_S1_ME_038.png,ME,2016,ME,38,MCQ,C,2,0.67
ME_2016_S1_ME_039.png,ME/ME/ME_2016_S1_ME_039.png,ME,2016,ME,39,NAT,(-2.199),2,0
ME_2016_S1_ME_040.png,ME/ME/ME_2016_S1_ME_040.png,ME,2016,ME,40,NAT,(22.25),2,0
ME_2016_S1_ME_041.png,ME/ME/ME_2016_S1_ME_041.png,ME,2016,ME,41,NAT,(0.33),2,0
ME_2016_S1_ME_042.png,ME/ME/ME_2016_S1_ME_042.png,ME,2016,ME,42,NAT,(42.22),2,0
ME_2016_S1_ME_043.png,ME/ME/ME_2016_S1_ME_043.png,ME,2016,ME,43,NAT,(24530.688),2,0
ME_2016_S1_ME_044.png,ME/ME/ME_2016_S1_ME_044.png,ME,2016,ME,44,NAT,(6.124),2,0
ME_2016_S1_ME_045.png,ME/ME/ME_2016_S1_ME_045.png,ME,2016,ME,45,NAT,(2443.24),2,0
ME_2016_S1_ME_046.png,ME/ME/ME_2016_S1_ME_046.png,ME,2016,ME,46,NAT,(15),2,0
ME_2016_S1_ME_047.png,ME/ME/ME_2016_S1_ME_047.png,ME,2016,ME,47,NAT,(25.99),2,0
ME_2016_S1_ME_048.png,ME/ME/ME_2016_S1_ME_048.png,ME,2016,ME,48,NAT,(0.85),2,0
ME_2016_S1_ME_049.png,ME/ME/ME_2016_S1_ME_049.png,ME,2016,ME,49,NAT,(50),2,0
ME_2016_S1_ME_050.png,ME/ME/ME_2016_S1_ME_050.png,ME,2016,ME,50,MCQ,B,2,0.67
ME_2016_S1_ME_051.png,ME/ME/ME_2016_S1_ME_051.png,ME,2016,ME,51,MCQ,A,2,0.67
ME_2016_S1_ME_052.png,ME/ME/ME_2016_S1_ME_052.png,ME,2016,ME,52,NAT,(1.92),2,0
ME_2016_S1_ME_053.png,ME/ME/ME_2016_S1_ME_053.png,ME,2016,ME,53,MCQ,A,2,0.67
ME_2016_S1_ME_054.png,ME/ME/ME_2016_S1_ME_054.png,ME,2016,ME,54,NAT,(2),2,0
ME_2016_S1_ME_055.png,ME/ME/ME_2016_S1_ME_055.png,ME,2016,ME,55,MCQ,B,2,0.67
ME_2016_S2_GA_001.png,ME/GA/ME_2016_S2_GA_001.png,ME,2016,GA,1,MCQ,B,1,0.33
ME_2016_S2_GA_002.png,ME/GA/ME_2016_S2_GA_002.png,ME,2016,GA,2,MCQ,A,1,0.33
ME_2016_S2_GA_003.png,ME/GA/ME_2016_S2_GA_003.png,ME,2016,GA,3,MCQ,D,1,0.33
ME_2016_S2_GA_004.png,ME/GA/ME_2016_S2_GA_004.png,ME,2016,GA,4,MCQ,C,1,0.33
ME_2016_S2_GA_005.png,ME/GA/ME_2016_S2_GA_005.png,ME,2016,GA,5,MCQ,B,1,0.33
ME_2016_S2_GA_006.png,ME/GA/ME_2016_S2_GA_006.png,ME,2016,GA,6,MCQ,C,2,0.67
ME_2016_S2_GA_007.png,ME/GA/ME_2016_S2_GA_007.png,ME,2016,GA,7,MCQ,C,2,0.67
ME_2016_S2_GA_008.png,ME/GA/ME_2016_S2_GA_008.png,ME,2016,GA,8,MCQ,C,2,0.67
ME_2016_S2_GA_009.png,ME/GA/ME_2016_S2_GA_009.png,ME,2016,GA,9,MCQ,A,2,0.67
ME_2016_S2_GA_010.png,ME/GA/ME_2016_S2_GA_010.png,ME,2016,GA,10,MCQ,C,2,0.67
ME_2016_S2_ME_001.png,ME/ME/ME_2016_S2_ME_001.png,ME,2016,ME,1,MCQ,A,1,0.33
ME_2016_S2_ME_002.png,ME/ME/ME_2016_S2_ME_002.png,ME,2016,ME,2,MCQ,C,1,0.33
ME_2016_S2_ME_003.png,ME/ME/ME_2016_S2_ME_003.png,ME,2016,ME,3,MCQ,A,1,0.33
ME_2016_S2_ME_004.png,ME/ME/ME_2016_S2_ME_004.png,ME,2016,ME,4,NAT,(-1),1,0
ME_2016_S2_ME_005.png,ME/ME/ME_2016_S2_ME_005.png,ME,2016,ME,5,MCQ,A,1,0.33
ME_2016_S2_ME_006.png,ME/ME/ME_2016_S2_ME_006.png,ME,2016,ME,6,MCQ,D,1,0.33
ME_2016_S2_ME_007.png,ME/ME/ME_2016_S2_ME_007.png,ME,2016,ME,7,MCQ,B,1,0.33
ME_2016_S2_ME_008.png,ME/ME/ME_2016_S2_ME_008.png,ME,2016,ME,8,MCQ,D,1,0.33
ME_2016_S2_ME_009.png,ME/ME/ME_2016_S2_ME_009.png,ME,2016,ME,9,NAT,(2.248),1,0
ME_2016_S2_ME_010.png,ME/ME/ME_2016_S2_ME_010.png,ME,2016,ME,10,MCQ,B,1,0.33
ME_2016_S2_ME_011.png,ME/ME/ME_2016_S2_ME_011.png,ME,2016,ME,11,MCQ,C,1,0.33
ME_2016_S2_ME_012.png,ME/ME/ME_2016_S2_ME_012.png,ME,2016,ME,12,MCQ,A,1,0.33
ME_2016_S2_ME_013.png,ME/ME/ME_2016_S2_ME_013.png,ME,2016,ME,13,MCQ,D,1,0.33
ME_2016_S2_ME_014.png,ME/ME/ME_2016_S2_ME_014.png,ME,2016,ME,14,MCQ,B,1,0.33
ME_2016_S2_ME_015.png,ME/ME/ME_2016_S2_ME_015.png,ME,2016,ME,15,MCQ,A,1,0.33
ME_2016_S2_ME_016.png,ME/ME/ME_2016_S2_ME_016.png,ME,2016,ME,16,MCQ,D,1,0.33
ME_2016_S2_ME_017.png,ME/ME/ME_2016_S2_ME_017.png,ME,2016,ME,17,MCQ,D,1,0.33
ME_2016_S2_ME_018.png,ME/ME/ME_2016_S2_ME_018.png,ME,2016,ME,18,NAT,(4),1,0
ME_2016_S2_ME_019.png,ME/ME/ME_2016_S2_ME_019.png,ME,2016,ME,19,NAT,(0.8021),1,0
ME_2016_S2_ME_020.png,ME/ME/ME_2016_S2_ME_020.png,ME,2016,ME,20,NAT,(2.5),1,0
ME_2016_S2_ME_021.png,ME/ME/ME_2016_S2_ME_021.png,ME,2016,ME,21,MCQ,C,1,0.33
ME_2016_S2_ME_022.png,ME/ME/ME_2016_S2_ME_022.png,ME,2016,ME,22,MCQ,B,1,0.33
ME_2016_S2_ME_023.png,ME/ME/ME_2016_S2_ME_023.png,ME,2016,ME,23,MCQ,B,1,0.33
ME_2016_S2_ME_024.png,ME/ME/ME_2016_S2_ME_024.png,ME,2016,ME,24,NAT,(7.539),1,0
ME_2016_S2_ME_025.png,ME/ME/ME_2016_S2_ME_025.png,ME,2016,ME,25,MCQ,D,1,0.33
ME_2016_S2_ME_026.png,ME/ME/ME_2016_S2_ME_026.png,ME,2016,ME,26,NAT,(726),2,0
ME_2016_S2_ME_027.png,ME/ME/ME_2016_S2_ME_027.png,ME,2016,ME,27,MCQ,B,2,0.67
ME_2016_S2_ME_028.png,ME/ME/ME_2016_S2_ME_028.png,ME,2016,ME,28,NAT,(0.40951),2,0
ME_2016_S2_ME_029.png,ME/ME/ME_2016_S2_ME_029.png,ME,2016,ME,29,NAT,(0.178),2,0
ME_2016_S2_ME_030.png,ME/ME/ME_2016_S2_ME_030.png,ME,2016,ME,30,NAT,(14.11),2,0
ME_2016_S2_ME_031.png,ME/ME/ME_2016_S2_ME_031.png,ME,2016,ME,31,MCQ,B,2,0.67
ME_2016_S2_ME_032.png,ME/ME/ME_2016_S2_ME_032.png,ME,2016,ME,32,MCQ,D,2,0.67
ME_2016_S2_ME_033.png,ME/ME/ME_2016_S2_ME_033.png,ME,2016,ME,33,MCQ,C,2,0.67
ME_2016_S2_ME_034.png,ME/ME/ME_2016_S2_ME_034.png,ME,2016,ME,34,NAT,(0),2,0
ME_2016_S2_ME_035.png,ME/ME/ME_2016_S2_ME_035.png,ME,2016,ME,35,NAT,(240),2,0
ME_2016_S2_ME_036.png,ME/ME/ME_2016_S2_ME_036.png,ME,2016,ME,36,NAT,(1),2,0
ME_2016_S2_ME_037.png,ME/ME/ME_2016_S2_ME_037.png,ME,2016,ME,37,NAT,(10),2,0
ME_2016_S2_ME_038.png,ME/ME/ME_2016_S2_ME_038.png,ME,2016,ME,38,MCQ,D,2,0.67
